gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj	stat	gene_name	gene_label	significant	direction
ENSG00000211445.13	2497.44066916998	3.75377797114289	0.15052638647246	9.80641188698867e-141	2.66538275088352e-137	25.2556946838754	GPX3	GPX3	TRUE	Upregulated
ENSG00000120129.6	679.707450866514	2.98590472285652	0.135544418067463	4.40369804814175e-109	5.98462564742464e-106	22.1888228418976	DUSP1	DUSP1	TRUE	Upregulated
ENSG00000198624.13	413.832617490654	2.81355051303806	0.172542759695954	7.06937979982282e-62	6.40485809863947e-59	16.5991423656355	CCDC69	CCDC69	TRUE	Upregulated
ENSG00000196569.14	3367.76755192459	2.03115947508333	0.12610300095389	4.08458711854313e-60	2.77547694705006e-57	16.3538329788482	LAMA2	LAMA2	TRUE	Upregulated
ENSG00000124766.7	250.278500124419	-2.41116286997325	0.16699857139606	1.19408542934146e-48	6.49104839390018e-46	-14.6581930625481	SOX4	SOX4	TRUE	Downregulated
ENSG00000108821.14	19373.0629029254	-1.28575386631292	0.0971840083045036	3.72856173102953e-41	1.68903846415638e-38	-13.4358315673872	COL1A1	COL1A1	TRUE	Downregulated
ENSG00000179094.16	147.305299406595	3.04329040225787	0.233776349775351	2.45264069880343e-40	9.52325345621102e-38	13.2956706907501	PER1	PER1	TRUE	Upregulated
ENSG00000136478.9	753.899370852385	1.52276391028348	0.121499761985276	2.90126165850889e-37	9.85703648478395e-35	12.7556016310796	TEX2	TEX2	TRUE	Upregulated
ENSG00000134363.12	587.163338520206	-1.76900962751023	0.14919037930144	5.76208362361355e-34	1.74014925433129e-31	-12.1496370314169	FST	FST	TRUE	Downregulated
ENSG00000146122.17	432.341157025848	1.6704548372026	0.145622229972441	7.70072649985783e-32	2.09305746266136e-29	11.7426795745234	DAAM2	DAAM2	TRUE	Upregulated
ENSG00000112837.17	562.667429724715	-1.78722257198538	0.156698179490161	8.63170378362453e-32	2.13281553489922e-29	-11.7330256534139	TBX18	TBX18	TRUE	Downregulated
ENSG00000164442.11	1489.73183379984	1.46693733050295	0.132934017044453	9.20182215481798e-30	2.08421271806627e-27	11.3311221353863	CITED2	CITED2	TRUE	Upregulated
ENSG00000096060.15	524.432587942587	3.84612669102413	0.38496273837243	8.09007833934411e-26	1.69144868664133e-23	10.5061844192082	FKBP5	FKBP5	TRUE	Upregulated
ENSG00000124762.14	1556.34489004939	-0.999015307628048	0.101284284305927	5.40800235310688e-24	1.04992502826747e-21	-10.102084889101	CDKN1A	CDKN1A	FALSE	Not significant
ENSG00000277443.3	1075.5774857888	-1.16001002922142	0.118909414178701	1.15557824501672e-23	2.0939077799703e-21	-10.0273662930791	MARCKS	MARCKS	TRUE	Downregulated
ENSG00000118689.15	747.35640133032	1.25592137664779	0.134940106423854	7.30306285219781e-22	1.2406078020171e-19	9.60931865719906	FOXO3	FOXO3	TRUE	Upregulated
ENSG00000164292.13	2999.02445863202	1.03377571917602	0.11166972737914	1.53916519738835e-21	2.4608535332362e-19	9.53224601942647	RHOBTB3	RHOBTB3	TRUE	Upregulated
ENSG00000111859.17	360.345799247148	1.61124504765352	0.177561501188197	3.64058610074088e-21	5.44777191072456e-19	9.44248006213409	NEDD9	NEDD9	TRUE	Upregulated
ENSG00000166482.12	5388.94025191552	-0.953197881936799	0.103775232767276	3.80822907666544e-21	5.44777191072456e-19	-9.43776290603514	MFAP4	MFAP4	FALSE	Not significant
ENSG00000170214.5	42.6318904041336	3.79033521561625	0.416857254642088	9.0892397025587e-21	1.23522767557773e-18	9.34615447796864	ADRA1B	ADRA1B	TRUE	Upregulated
ENSG00000196230.14	1839.61187329123	-1.19026095040552	0.132189400985324	1.17964036114214e-20	1.52679166742111e-18	-9.31852929422964	TUBB	TUBB	TRUE	Downregulated
ENSG00000145675.16	699.902555769033	1.50597794352253	0.17119399832843	3.5487667312945e-20	4.38433998893567e-18	9.20092646107789	PIK3R1	PIK3R1	TRUE	Upregulated
ENSG00000169738.8	124.901868225282	1.91787086276298	0.223380051088423	3.6597577351856e-19	4.3248789235802e-17	8.94678813437594	DCXR	DCXR	TRUE	Upregulated
ENSG00000118523.6	2238.41103943186	1.21638540103774	0.142345139183501	5.65759323661354e-19	6.40722434046483e-17	8.89855994068787	CCN2	CCN2	TRUE	Upregulated
ENSG00000146250.7	64.5023494529516	-2.36736456288844	0.277795007479857	9.80072229507966e-19	1.06553452792106e-16	-8.83735967473572	PRSS35	PRSS35	TRUE	Downregulated
ENSG00000136436.15	649.761272306574	1.15887966589039	0.136582605041345	1.34117414357585e-18	1.40204281624584e-16	8.80223546730846	CALCOCO2	CALCOCO2	TRUE	Upregulated
ENSG00000197043.15	2782.71446996089	0.903788964087441	0.106071388022526	1.47288225425864e-18	1.48270146928703e-16	8.79171942413764	ANXA6	ANXA6	FALSE	Not significant
ENSG00000071242.12	2236.64685435098	0.872377396721365	0.106359603520041	2.32080922210145e-17	2.25284266631134e-15	8.47649439128919	RPS6KA2	RPS6KA2	FALSE	Not significant
ENSG00000108604.18	443.022972826918	1.22628767760226	0.151172529442357	2.87409115446097e-17	2.69371715787066e-15	8.45157093630967	SMARCD2	SMARCD2	TRUE	Upregulated
ENSG00000145685.14	402.789321858482	-1.09565931494279	0.134835486728398	3.23078372046741e-17	2.83266779104207e-15	-8.43790415744381	LHFPL2	LHFPL2	TRUE	Downregulated
ENSG00000220884.2	96.0003286356395	-1.83048899510318	0.225816420217436	3.22791117698487e-17	2.83266779104207e-15	-8.43800815318276	MESTP1	MESTP1	TRUE	Downregulated
ENSG00000009413.17	1590.73901641734	1.0969210254514	0.139296531645466	1.69078767907549e-16	1.43611278491474e-14	8.24219566327967	REV3L	REV3L	TRUE	Upregulated
ENSG00000170624.14	428.372478569913	-1.10135724998898	0.139430854101898	2.09702324749721e-16	1.72718460202952e-14	-8.21640048952764	SGCD	SGCD	TRUE	Downregulated
ENSG00000113580.15	561.583929235117	-0.966868257685073	0.124304656387216	6.4613493765747e-16	5.16527870750884e-14	-8.08028894317148	NR3C1	NR3C1	FALSE	Not significant
ENSG00000145777.15	36.1681482712774	-3.06271720610607	0.397228333274619	9.58686947415346e-16	7.44488892307117e-14	-8.03203540399425	TSLP	TSLP	TRUE	Downregulated
ENSG00000113389.16	934.686833381607	0.892314709923566	0.115894213830159	1.31091634503618e-15	9.77663143650495e-14	7.99356507625099	NPR3	NPR3	FALSE	Not significant
ENSG00000270978.1	1262.45777919088	2.84397126276759	0.384240006332765	1.3308880174786e-15	9.77663143650495e-14	7.99170165383503	ENSG00000270978	ENSG00000270978	TRUE	Upregulated
ENSG00000131016.17	8161.29318338983	-0.884057001333797	0.118169664359478	5.70538524109356e-15	4.08085186455061e-13	-7.81029596036883	AKAP12	AKAP12	FALSE	Not significant
ENSG00000154262.13	494.937934515848	0.97446992930093	0.131010431978945	8.53637988722884e-15	5.94920013679179e-13	7.75935291996479	ABCA6	ABCA6	FALSE	Not significant
ENSG00000131446.17	1085.62504356696	0.814504424261656	0.109906744923986	1.38737315437032e-14	9.42720058394632e-13	7.69751545376828	MGAT1	MGAT1	FALSE	Not significant
ENSG00000256235.3	226.950251174099	1.16508644616067	0.158664454886877	1.52645229668059e-14	1.01192618106777e-12	7.68529468005033	SMIM3	SMIM3	TRUE	Upregulated
ENSG00000173918.15	197.38304682542	1.23403305440954	0.168500154628742	1.64567804923526e-14	1.06498879471939e-12	7.67566100723744	C1QTNF1	C1QTNF1	TRUE	Upregulated
ENSG00000138829.14	3187.16243605255	1.85026676695673	0.260424733669389	2.98187938860074e-14	1.88482515772484e-12	7.59910405899729	FBN2	FBN2	TRUE	Upregulated
ENSG00000173221.14	398.241446274768	0.980646178749682	0.136002797828584	4.74311676511819e-14	2.92995258354346e-12	7.53880112092811	GLRX	GLRX	FALSE	Not significant
ENSG00000083290.20	312.27395590465	1.1117617514427	0.156824857022411	9.61039396642456e-14	5.80467795572043e-12	7.44614944104201	ULK2	ULK2	TRUE	Upregulated
ENSG00000167549.19	387.315078671134	2.22075883769849	0.321131234479637	1.06718089309988e-13	6.30564710314236e-12	7.43230906040994	CORO6	CORO6	TRUE	Upregulated
ENSG00000113719.17	1355.30170460368	0.737903650128689	0.104113586964211	1.55786810845581e-13	9.00911812506998e-12	7.38212159515306	ERGIC1	ERGIC1	FALSE	Not significant
ENSG00000108950.12	221.234795286368	1.14360950132097	0.162926034789616	1.61223363846115e-13	9.12927297778628e-12	7.37755451603636	FAM20A	FAM20A	TRUE	Upregulated
ENSG00000161011.20	2005.89519591083	-0.746073555688732	0.105474347269679	1.83419952525614e-13	1.01741924686657e-11	-7.36035632752132	SQSTM1	SQSTM1	FALSE	Not significant
ENSG00000247763.2	1164.14465825673	-1.02723599090711	0.14816231399793	2.44036215730008e-13	1.32658086870832e-11	-7.32214611731319	TUBAP14	TUBAP14	TRUE	Downregulated
ENSG00000070540.13	776.141537641973	0.938145852733675	0.135558702062115	3.38139485022325e-13	1.80208454958957e-11	7.27826545400127	WIPI1	WIPI1	FALSE	Not significant
ENSG00000152377.15	1316.06072949661	0.883523720736744	0.129689293053146	8.46696570452573e-13	4.42561784325018e-11	7.15337537028711	SPOCK1	SPOCK1	FALSE	Not significant
ENSG00000141298.19	427.29994691191	1.16691204196132	0.173890179134649	9.0456987157008e-13	4.63890737910845e-11	7.14429797526391	SSH2	SSH2	TRUE	Upregulated
ENSG00000113361.13	456.942985640867	-1.10678324046775	0.166513977483436	1.65522398403153e-12	8.3312940529587e-11	-7.06082041697518	CDH6	CDH6	TRUE	Downregulated
ENSG00000168994.14	272.660500943548	1.19338185927897	0.18300036185735	3.38398039351161e-12	1.67230158355719e-10	6.96077826416199	PXDC1	PXDC1	TRUE	Upregulated
ENSG00000135318.12	862.706254421006	-0.819355762042952	0.124660096433887	4.99454355713065e-12	2.42413739076448e-10	-6.90573136038565	NT5E	NT5E	FALSE	Not significant
ENSG00000112936.21	409.820009958278	2.94630082948679	0.475095415806455	5.20399534033348e-12	2.48148409386428e-10	6.89989783028482	C7	C7	TRUE	Upregulated
ENSG00000157510.14	108.281175056269	1.54804097845785	0.25168138115269	2.72791858034638e-11	1.2574539908672e-09	6.66055693768054	AFAP1L1	AFAP1L1	TRUE	Upregulated
