gene_id	gene_name
ENSG00000250020.1	ENSG00000250020
ENSG00000153404.15	PLEKHG4B
ENSG00000199540.1	Y_RNA
ENSG00000185028.4	LRRC14B
ENSG00000261434.1	ENSG00000261434
ENSG00000164366.4	CCDC127
ENSG00000260774.1	ENSG00000260774
ENSG00000286001.1	ENSG00000286001
ENSG00000073578.18	SDHA
ENSG00000248925.3	PDCD6-DT
ENSG00000249915.9	PDCD6
ENSG00000288622.1	PDCD6-AHRR
ENSG00000250848.1	PPP4R2P1
ENSG00000063438.20	AHRR
ENSG00000214278.4	ENSG00000214278
ENSG00000250645.1	ENSG00000250645
ENSG00000221990.5	EXOC3-AS1
ENSG00000180104.16	EXOC3
ENSG00000188242.4	PP7080
ENSG00000066230.12	SLC9A3
ENSG00000225138.8	SLC9A3-AS1
ENSG00000250385.2	ENSG00000250385
ENSG00000264233.1	MIR4456
ENSG00000249650.1	CEP72-DT
ENSG00000112877.8	CEP72
ENSG00000171368.12	TPPP
ENSG00000271781.1	ENSG00000271781
ENSG00000289088.1	ENSG00000289088
ENSG00000206077.14	ZDHHC11B
ENSG00000249908.2	BRD9P2
ENSG00000285522.1	ENSG00000285522
ENSG00000288930.1	ENSG00000288930
ENSG00000188818.13	ZDHHC11
ENSG00000247872.2	SPCS2P3
ENSG00000028310.18	BRD9
ENSG00000071539.14	TRIP13
ENSG00000287600.1	ENSG00000287600
ENSG00000248949.1	ENSG00000248949
ENSG00000288763.1	ENSG00000288763
ENSG00000250173.1	ENSG00000250173
ENSG00000215246.6	LINC02982
ENSG00000272347.1	ENSG00000272347
ENSG00000145506.14	NKD2
ENSG00000113504.21	SLC12A7
ENSG00000263834.1	MIR4635
ENSG00000249201.2	TERLR1
ENSG00000174358.16	SLC6A19
ENSG00000164363.10	SLC6A18
ENSG00000287486.1	ENSG00000287486
ENSG00000164362.21	TERT
ENSG00000263670.1	MIR4457
ENSG00000049656.14	CLPTM1L
ENSG00000286388.1	ENSG00000286388
ENSG00000250584.4	LINC01511
ENSG00000248951.2	MTCO2P32
ENSG00000279908.1	ENSG00000279908
ENSG00000142319.18	SLC6A3
ENSG00000153395.10	LPCAT1
ENSG00000273742.1	MIR6075
ENSG00000251532.1	ENSG00000251532
ENSG00000291055.1	ENSG00000291055
ENSG00000185986.14	SDHAP3
ENSG00000271119.1	LINC03067
ENSG00000248126.1	ENSG00000248126
ENSG00000188002.13	PDCD6P1
ENSG00000291079.1	ENSG00000291079
ENSG00000232615.4	PPP4R2P5
ENSG00000288549.1	ENSG00000288549
ENSG00000263746.1	MIR4277
ENSG00000260066.1	ENSG00000260066
ENSG00000171421.13	MRPL36
ENSG00000145494.12	NDUFS6
ENSG00000249966.1	ENSG00000249966
ENSG00000250417.1	LINC02116
ENSG00000279222.1	ENSG00000279222
ENSG00000113430.10	IRX4
ENSG00000249116.2	IRX4-AS1
ENSG00000249326.1	CTD-2194D22.4
ENSG00000288108.1	ENSG00000288108
ENSG00000248994.2	ENSG00000248994
ENSG00000248597.2	ENSG00000248597
ENSG00000249731.1	ENSG00000249731
ENSG00000201026.1	Y_RNA
ENSG00000275733.1	ENSG00000275733
ENSG00000281560.1	LSINCT5
ENSG00000259757.1	ENSG00000259757
ENSG00000170561.13	IRX2
ENSG00000186493.14	IRX2-DT
ENSG00000289075.2	ENSG00000289075
ENSG00000249541.1	ENSG00000249541
ENSG00000248137.1	ENSG00000248137
ENSG00000248736.3	ENSG00000248736
ENSG00000249808.4	LINC01377
ENSG00000248118.2	LINC01019
ENSG00000249830.1	LINC02162
ENSG00000250716.1	LINC01017
ENSG00000170549.4	IRX1
ENSG00000259603.1	ENSG00000259603
ENSG00000288978.3	ENSG00000288978
ENSG00000248962.1	ENSG00000248962
ENSG00000249994.1	ENSG00000249994
ENSG00000250921.2	LINC02063
ENSG00000260763.1	ENSG00000260763
ENSG00000248973.3	ENSG00000248973
ENSG00000231291.3	ENSG00000231291
ENSG00000251371.1	ENSG00000251371
ENSG00000249521.1	LINC02114
ENSG00000248311.1	ENSG00000248311
ENSG00000249941.1	ENSG00000249941
ENSG00000251506.1	ENSG00000251506
ENSG00000250481.2	ENSG00000250481
ENSG00000215231.8	LINC01020
ENSG00000251426.1	ENSG00000251426
ENSG00000250529.1	LINC02121
ENSG00000223007.1	RN7SKP73
ENSG00000250579.3	ADAMTS16-DT
ENSG00000145536.15	ADAMTS16
ENSG00000250866.1	ENSG00000250866
ENSG00000251568.1	ALG3P1
ENSG00000286753.3	ENSG00000286753
ENSG00000248729.1	MTCO1P30
ENSG00000250808.1	MTCO2P30
ENSG00000251476.2	MTCO1P31
ENSG00000164151.12	ICE1
ENSG00000286986.1	ENSG00000286986
ENSG00000261037.1	ENSG00000261037
ENSG00000259861.1	ENSG00000259861
ENSG00000278913.1	ENSG00000278913
ENSG00000250730.2	HMGB3P3
ENSG00000250490.1	LINC02145
ENSG00000133398.4	MED10
ENSG00000287031.1	ENSG00000287031
ENSG00000215218.4	UBE2QL1
ENSG00000271230.1	ENSG00000271230
ENSG00000250056.8	LINC01018
