Geneid	N61311_untreated	N61311_dex	N052611_untreated	N052611_dex	N080611_untreated	N080611_dex	N061011_untreated	N061011_dex
ENSG00000250020.1	0	0	0	0	0	0	0	0
ENSG00000153404.15	0	0	1	0	0	0	1	0
ENSG00000199540.1	0	0	0	0	0	0	0	0
ENSG00000185028.4	0	0	0	0	0	0	0	0
ENSG00000261434.1	0	0	0	0	0	0	0	0
ENSG00000164366.4	177	180	196	197	190	170	199	220
ENSG00000260774.1	2	1	4	1	0	4	4	1
ENSG00000286001.1	6	3	4	4	6	2	1	1
ENSG00000073578.18	128	121	85	81	108	101	92	86
ENSG00000248925.3	0	0	1	1	2	1	4	1
ENSG00000249915.9	32	29	31	19	31	21	27	29
ENSG00000288622.1	0	0	0	0	0	0	0	0
ENSG00000250848.1	57	36	40	33	52	46	41	31
ENSG00000063438.20	6	5	6	7	12	15	15	6
ENSG00000214278.4	24	28	32	31	26	20	19	21
ENSG00000250645.1	0	0	3	0	0	0	1	0
ENSG00000221990.5	14	9	19	16	8	10	13	12
ENSG00000180104.16	201	197	169	147	191	188	189	190
ENSG00000188242.4	0	2	0	1	1	0	1	0
ENSG00000066230.12	20	22	9	7	9	7	10	10
ENSG00000225138.8	111	96	43	63	38	27	50	41
ENSG00000250385.2	0	0	0	0	0	0	0	0
ENSG00000264233.1	0	0	0	0	0	0	0	0
ENSG00000249650.1	0	0	0	0	0	0	0	0
ENSG00000112877.8	9	4	5	2	5	2	11	4
ENSG00000171368.12	0	0	1	1	0	1	0	1
ENSG00000271781.1	1	1	0	0	0	0	0	1
ENSG00000289088.1	0	0	0	0	0	0	1	0
ENSG00000206077.14	1	0	0	0	0	0	0	1
ENSG00000249908.2	0	0	0	0	0	0	0	0
ENSG00000285522.1	0	0	0	0	0	0	0	0
ENSG00000288930.1	0	0	0	0	0	0	0	0
ENSG00000188818.13	6	6	5	3	6	5	4	6
ENSG00000247872.2	53	61	47	34	56	55	44	38
ENSG00000028310.18	103	101	103	98	118	126	115	95
ENSG00000071539.14	9	13	8	7	7	9	11	10
ENSG00000287600.1	3	0	0	0	0	0	0	0
ENSG00000248949.1	0	0	0	0	0	0	0	0
ENSG00000288763.1	0	1	1	1	1	0	0	1
ENSG00000250173.1	0	0	0	0	0	0	0	0
ENSG00000215246.6	0	2	1	1	1	3	1	0
ENSG00000272347.1	0	2	0	0	0	0	1	0
ENSG00000145506.14	16	40	7	22	4	34	32	69
ENSG00000113504.21	149	133	86	92	96	94	128	130
ENSG00000263834.1	0	0	0	0	0	0	0	0
ENSG00000249201.2	0	0	0	0	0	1	0	0
ENSG00000174358.16	0	0	0	0	0	0	0	0
ENSG00000164363.10	0	0	0	0	0	0	0	0
ENSG00000287486.1	0	0	0	0	0	0	0	0
ENSG00000164362.21	0	0	0	0	1	0	1	0
ENSG00000263670.1	0	0	0	0	0	0	0	0
ENSG00000049656.14	307	325	237	272	280	317	277	284
ENSG00000286388.1	22	19	48	26	25	21	39	15
ENSG00000250584.4	3	0	1	0	0	0	1	0
ENSG00000248951.2	0	0	0	0	0	0	0	0
ENSG00000279908.1	0	1	0	0	0	0	0	0
ENSG00000142319.18	0	2	0	0	0	0	0	0
ENSG00000153395.10	302	308	184	187	237	347	186	228
ENSG00000273742.1	0	0	0	0	0	0	0	0
ENSG00000251532.1	0	0	0	0	1	0	0	0
ENSG00000291055.1	59	82	44	47	53	37	57	38
ENSG00000185986.14	0	2	4	0	1	1	0	0
ENSG00000271119.1	1	1	4	3	2	2	3	3
ENSG00000248126.1	1	0	0	0	1	1	0	0
ENSG00000188002.13	0	0	0	0	0	0	0	0
ENSG00000291079.1	16	15	16	14	20	11	28	20
ENSG00000232615.4	41	32	26	24	40	37	39	35
ENSG00000288549.1	0	2	0	1	0	1	4	2
ENSG00000263746.1	0	0	0	0	0	0	0	0
ENSG00000260066.1	0	0	0	0	0	0	0	0
ENSG00000171421.13	38	61	41	41	51	64	40	45
ENSG00000145494.12	83	113	89	87	90	78	79	64
ENSG00000249966.1	0	0	0	0	0	0	0	0
ENSG00000250417.1	0	0	0	0	0	0	0	0
ENSG00000279222.1	0	0	0	0	0	0	0	0
ENSG00000113430.10	0	1	0	0	0	0	0	0
ENSG00000249116.2	0	0	0	0	0	0	0	0
ENSG00000249326.1	0	0	0	0	0	0	0	0
ENSG00000288108.1	0	0	0	0	0	0	0	0
ENSG00000248994.2	4	5	4	2	5	8	3	5
ENSG00000248597.2	0	0	0	0	0	0	0	0
ENSG00000249731.1	0	0	0	0	0	0	0	0
ENSG00000201026.1	0	0	0	0	0	0	0	0
ENSG00000275733.1	0	0	0	0	0	0	0	0
ENSG00000281560.1	0	0	0	0	0	0	0	0
ENSG00000259757.1	0	0	0	0	0	0	0	0
ENSG00000170561.13	8	10	8	9	5	1	26	19
ENSG00000186493.14	14	11	17	21	5	3	43	53
ENSG00000289075.2	4	3	2	2	1	0	3	5
ENSG00000249541.1	47	44	51	46	43	38	54	34
ENSG00000248137.1	0	0	0	0	0	0	0	0
ENSG00000248736.3	0	0	0	0	1	0	0	0
ENSG00000249808.4	0	0	0	0	0	0	0	0
ENSG00000248118.2	0	0	0	0	0	0	0	0
ENSG00000249830.1	0	0	0	0	0	0	0	0
ENSG00000250716.1	0	0	0	0	0	0	0	0
ENSG00000170549.4	0	0	0	0	0	0	0	0
ENSG00000259603.1	0	0	0	0	0	0	0	0
ENSG00000288978.3	0	0	0	0	0	0	0	0
ENSG00000248962.1	0	0	0	0	0	0	0	0
ENSG00000249994.1	0	0	0	0	0	0	0	0
